QN,A1,A2,A3,A4
T1,Y,N,N,N
T2,N,N,Y,Y
T3,Y,N,Y,N
M1,N,N,Y,N
M2,Y,N,N,N
M3,Y,N,Y,Y
M4,Y,N,Y,N
M6,M,Y,N,N
M7,N,N,M,Y
M8,Y,N,Y,N
M9,N,N,Y,N
