QN,A1,A2,A3,A4
0,False,False,False,True
1,False,True,False,False
2,False,False,False,True
m1,False,False,False,True
m2,False,False,True,False
m3,False,False,False,True
m4,False,True,False,False
m6,True,False,False,False
m7,False,False,True,False
