QN,A1,A2,A3,A4
0,True,True,False,False
1,False,True,False,False
2,False,True,False,False
m1,False,False,True,False
m2,True,False,False,False
m3,False,False,True,False
m4,False,True,False,False
m6,False,False,False,True
m7,False,False,False,True
