QN,A1,A2,A3,A4
0,False,False,True,False
1,False,False,True,False
2,False,False,True,False
m1,False,False,True,False
m2,True,False,False,False
m3,True,False,False,False
m4,False,False,True,False
m6,True,False,False,False
m7,False,True,False,False
