QN,A1,A2,A3,A4
0,True,False,False,False
1,False,True,True,True
2,True,False,True,False
m1,False,False,True,False
m2,True,False,False,True
m3,True,False,True,True
m4,True,False,True,False
m6,False,True,False,True
m7,False,False,True,False
