QN,A1,A2,A3,A4
0,False,False,False,False
1,False,False,True,False
2,False,False,False,False
m1,False,True,False,False
m2,False,False,False,False
m3,False,False,False,False
m4,False,False,False,False
m6,True,False,False,False
m7,False,False,False,False
