QN,A1,A2,A3,A4
0,True,False,True,False
1,False,True,False,True
2,False,False,False,True
m1,False,False,False,True
m2,False,True,False,False
m3,False,False,True,False
m4,True,False,False,False
m6,False,False,False,True
m7,True,True,False,False
m8,True,False,False,False
m9,False,False,False,True
