QN,A1,A2,A3,A4
0,True,False,True,False
1,True,True,True,False
2,True,True,True,False
m1,False,False,True,True
m2,True,True,False,True
m3,True,True,False,True
m4,False,False,True,False
m6,True,True,True,True
m7,True,True,False,False
m8,True,False,True,False
m9,False,False,False,True
