QN,A1,A2,A3,A4
0,True,False,False,False
1,True,False,True,True
2,True,False,True,False
m1,False,False,True,False
m2,True,True,False,False
m3,True,True,True,True
m4,True,False,True,False
m6,True,True,False,False
m7,True,True,True,False
m8,True,False,True,False
m9,False,True,False,False
