QN,A1,A2,A3,A4
0,False,False,True,False
1,False,True,False,False
2,True,False,False,False
m1,False,False,True,False
m2,False,False,False,True
m3,True,False,False,False
m4,True,False,False,False
m6,False,True,False,False
m7,True,False,False,False
m8,True,False,False,False
m9,True,False,False,False
