QN,A1,A2,A3,A4
0,True,False,True,False
1,False,False,True,True
2,False,False,False,True
m1,False,False,False,False
m2,True,False,False,False
m3,True,True,True,True
m4,True,False,True,False
m6,False,False,True,False
m7,False,False,True,False
m8,True,False,True,False
m9,False,False,False,True
