QN,A1,A2,A3,A4
0,False,False,False,True
1,False,False,False,True
2,True,False,False,False
m1,True,False,False,False
m2,False,True,False,False
m3,False,True,False,False
m4,True,False,False,False
m6,False,True,False,False
m7,False,True,False,False
m8,True,False,False,False
m9,False,False,True,False
