QN,A1,A2,A3,A4
0,True,False,False,False
1,False,False,False,True
2,False,False,False,True
m1,False,False,False,True
m2,True,False,False,False
m3,True,False,True,True
m4,True,False,False,False
m6,False,True,False,False
m7,False,True,False,False
m8,True,False,True,False
m9,False,False,False,True
